COMPLETION,PROMPT
"When Lyndon Baines Johnson succeeded John Fitzgerald Kennedy as President of the United States, it was the eighth time in our history that a President died in office and was succeeded by his Vice President. Further, when Senator Bayh introduced Senate Joint Resolution 139 in December 1963, the nation had a various times been without a Vice President for a total of more than 36 years since April 1789, when Washington was inaugurated in New York City. On November 22, 1963, the junior Senator from Indiana, like most Americans, was stunned by the tragedy of President Kennedy's assassination. As the nation mourned, urgent questions were raised concerning the future stability of the country. What if the Vice President also had been felled by an assassin's bullet? What if the President had been critically or permanently disabled? This book is the intimate story of what Senator Bayh did to help protect the nation from the disastrous effects of such possibilities. It is not only the story of Senator Bayh's successful efforts, but also it is a day-by-day account of how our democracy works. The urgency, the excitement, and the awesome responsibility of high office quicken the narrative from the assassination of President Kennedy to the passage and final ratification of the Twenty-fifth Amendment in February 1967. --from inside jacket.","""Generate a description for the book titled - 'One heartbeat away;: Presidential disability and succession,'"""
"Warren Gamaliel Harding was born 1 November 1865 in Blooming Grove, Ohio. His parents were George Tryon Harding and Phoebe Dickerson. He married Florence Mabel Kling 8 July 1891 in Marion, Ohio. He was editor of the Marion Daily Star, an Ohio state senator, lieutenant governor of Ohio and a United States senator. He was inaugurated President of the United States of America 4 March 1921. He died in 1923 in San Francisco, California.","""Generate a description for the book titled - 'The Shadow of Blooming Grove: Warren G. Harding in His Times'"""
The author tells of her love affair with General Dwight D. Eisenhower during World War II.,"""Generate a description for the book titled - 'Past forgetting : my love affair with Dwight D. Eisenhower'"""
"From master storyteller and New York Times bestselling Historian H. W. Brands comes the definitive biography of a visionary and transformative president In his magisterial new biography, H. W. Brands brilliantly establishes Ronald Reagan as one of the two great presidents of the twentieth century, a true peer to Franklin Roosevelt. Reagan conveys with sweep and vigor how the confident force of Reagan's personality and the unwavering nature of his beliefs enabled him to engineer a conservative revolution in American politics and play a crucial role in ending communism in the Soviet Union. Reagan shut down the age of liberalism, Brands shows, and ushered in the age of Reagan, whose defining principles are still powerfully felt today. Employing archival sources not available to previous biographers and drawing on dozens of interviews with surviving members of Reagan's administration, Brands has crafted a richly detailed and fascinating narrative of the presidential years. He offers new insights into Reagan's remote management style and fractious West Wing staff, his deft handling of public sentiment to transform the tax code, and his deeply misunderstood relationship with Soviet leader Mikhail Gorbachev, on which nothing less than the fate of the world turned. Reagan is a storytelling triumph, an irresistible portrait of an underestimated politician whose pragmatic leadership and steadfast vision transformed the nation.","""Generate a description for the book titled - 'Ronald Reagan: A Life In Politics'"""
Documents the career of the fifth president noting his contributions to American diplomacy and nationalism. Bibliog.,"""Generate a description for the book titled - 'James Monroe: The Quest for National Identity'"""
"""Halleck originates nothing, anticipates nothing, to assist others; takes no responsibility, plans nothing, suggests nothing, is good for nothing."" Lincoln's secretary of the navy Gideon Welles's harsh words constitute the stereotype into which Union General-in-Chief Henry Wager Halleck has been cast by most historians since Appomattox. In Halleck: Lincoln's Chief of Staff, originally published in 1962, Stephen Ambrose challenges the standard interpretation of this controversial figure. Ambrose argues persuasively that Halleck has been greatly underrated as a war theorist because of past writer.","""Generate a description for the book titled - 'Halleck: Lincoln's Chief of Staff'"""
The autobiography of the 26th President of the United States.,"""Generate a description for the book titled - 'Theodore Roosevelt: A biography'"""
"As the ""father of the Constitution,"" James Madison's accomplishments are inseparable from the nation he helped create. From his early days in the state legislature of colonial Virginia to his two terms as president, Madison worked tirelessly alongside - and sometimes in opposition to - his political contemporaries to secure the future of a fledging United States. In this biography, author Jack N. Rakove examines both the life and legacy of this Founding Father, showing how the ideological foundation he helped build still supports our nation today.","""Generate a description for the book titled - 'James Madison and the Creation of the American Republic (2nd Edition)'"""
"This book brings these ten complex men to life and rushes with them across the more thank half a century of the republic's young years, an era of explosive turbulence, expansion and growing democratization.","""Generate a description for the book titled - 'The first ten;: The founding Presidents and their administrations'"""
"A pictorial biography enlarged by 32 pages of portraits, busts, cartoons, and text. Text rewritten where needed to incorporate findings of recent research.","""Generate a description for the book titled - 'Lincoln, a picture story of his life'"""
